Soc,r0,r1,c,Temp,DBSCANclusters
70,0.004642286067983694,0.006803038510640458,37270.29986117693,10,1
70,0.004825090470446301,0.006905681808636266,34868.95024999438,10,1
70,0.004924844816087831,0.006612210609582836,39693.07747849438,10,1
70,0.004745447980605543,0.006753344484153101,38315.0256292609,10,1
70,0.004825090470446301,0.006853141570559607,35743.20076062293,10,1
70,0.004924844816087831,0.006559129060381585,40744.51155869128,10,1
70,0.004539124155361799,0.006611719838150898,40468.27834803723,10,1
70,0.00461530392825296,0.006710367748360979,37644.36581562871,10,1
70,0.004719642948750815,0.006432922004217967,42821.19605710167,10,1
70,0.004539124155361799,0.006615244508175411,40433.22541760543,10,1
70,0.00461530392825296,0.006713183251831789,37607.73607462885,10,1
70,0.004719642948750815,0.006435113456681907,42709.8950251701,10,1
70,0.004642286067983694,0.006673652916273087,39500.4619233405,10,1
70,0.004720197199349655,0.00677541235904966,36879.28488676392,10,1
70,0.004822243882419346,0.00649908810096933,41972.41118823775,10,1
70,0.004642286067983694,0.006676515769527769,39410.62034464336,10,1
70,0.004720197199349655,0.006778959066159218,36843.02213207453,10,1
70,0.004822243882419346,0.006502373036989861,41831.3896583081,10,1
70,0.004539124155361845,0.006707629329045894,38583.65254380518,10,1
70,0.004615303928253007,0.006806320517874442,35877.59898529395,10,1
70,0.004719642948750861,0.006524615863259142,40936.93949550451,10,1
70,0.004642286067983694,0.006649811451597043,39721.93319386284,10,1
70,0.004615303928253007,0.006849474365419828,35241.98937889277,10,1
70,0.004822243882419346,0.006465286850716567,42031.98085003266,10,1
70,0.004539124155361845,0.006688955142320707,39255.00765794284,10,1
70,0.004615303928253007,0.006799322022929988,36408.25924027363,10,1
70,0.004822243882419346,0.006419169188622287,43478.75076578315,10,1
70,0.004642286067983694,0.006641417286675666,40370.4231497158,10,1
70,0.00461530392825296,0.006850507164610442,35675.796482123,10,1
70,0.0048222438824193,0.006469774378542792,42589.64163868278,10,1
