Soc,C_1,Temp,Soh
0,5811.382741095092,25,1.0
10,11404.450799023387,25,1.0
20,12600.929524604642,25,1.0
30,14661.237120445474,25,1.0
40,12066.767912278934,25,1.0
50,12601.899944872162,25,1.0
60,16568.821136888477,25,1.0
70,14557.128580892793,25,1.0
80,9990.085207007225,25,1.0
90,10479.544996056247,25,1.0
100,10883.181678678691,25,1.0
0,7264.228426368864,25,0.9
10,14255.563498779233,25,0.9
20,15751.161905755802,25,0.9
30,18326.546400556843,25,0.9
40,15083.459890348666,25,0.9
50,15752.374931090202,25,0.9
60,20711.026421110597,25,0.9
70,18196.410726115988,25,0.9
80,12487.60650875903,25,0.9
90,13099.431245070307,25,0.9
100,13603.977098348363,25,0.9
0,8717.074111642636,25,0.8
10,17106.67619853508,25,0.8
20,18901.39428690696,25,0.8
30,21991.85568066821,25,0.8
40,18100.151868418397,25,0.8
50,18902.849917308242,25,0.8
60,24853.231705332713,25,0.8
70,21835.692871339186,25,0.8
80,14985.127810510836,25,0.8
90,15719.31749408437,25,0.8
100,16324.772518018035,25,0.8
0,10169.91979691641,25,0.7
10,19957.788898290928,25,0.7
20,22051.626668058125,25,0.7
30,25657.16496077958,25,0.7
40,21116.843846488136,25,0.7
50,22053.324903526285,25,0.7
60,28995.436989554837,25,0.7
70,25474.97501656239,25,0.7
80,17482.649112262647,25,0.7
90,18339.203743098435,25,0.7
100,19045.56793768771,25,0.7
0,11622.765482190183,25,0.6
10,22808.901598046774,25,0.6
20,25201.859049209284,25,0.6
30,29322.474240890948,25,0.6
40,24133.53582455787,25,0.6
50,25203.799889744325,25,0.6
60,33137.64227377695,25,0.6
70,29114.257161785587,25,0.6
80,19980.17041401445,25,0.6
90,20959.089992112495,25,0.6
100,21766.363357357382,25,0.6
0,118.47037418438153,10,1.0
10,1891.0874874916947,10,1.0
20,7112.868885701509,10,1.0
30,10740.223798936828,10,1.0
40,8286.034486428378,10,1.0
50,7584.867877238287,10,1.0
60,7517.162894345649,10,1.0
70,14563.50858827408,10,1.0
80,6844.294036646465,10,1.0
90,7190.12616954179,10,1.0
100,8024.440682099761,10,1.0
0,148.08796773047692,10,0.9
10,2363.8593593646183,10,0.9
20,8891.086107126885,10,0.9
30,13425.279748671033,10,0.9
40,10357.543108035472,10,0.9
50,9481.08484654786,10,0.9
60,9396.45361793206,10,0.9
70,18204.3857353426,10,0.9
80,8555.367545808082,10,0.9
90,8987.657711927237,10,0.9
100,10030.5508526247,10,0.9
0,177.70556127657227,10,0.8
10,2836.6312312375417,10,0.8
20,10669.303328552262,10,0.8
30,16110.33569840524,10,0.8
40,12429.051729642566,10,0.8
50,11377.30181585743,10,0.8
60,11275.744341518472,10,0.8
70,21845.26288241112,10,0.8
80,10266.441054969697,10,0.8
90,10785.189254312683,10,0.8
100,12036.66102314964,10,0.8
0,207.32315482266768,10,0.7
10,3309.403103110466,10,0.7
20,12447.52054997764,10,0.7
30,18795.391648139448,10,0.7
40,14500.560351249662,10,0.7
50,13273.518785167003,10,0.7
60,13155.035065104887,10,0.7
70,25486.14002947964,10,0.7
80,11977.514564131316,10,0.7
90,12582.720796698133,10,0.7
100,14042.771193674582,10,0.7
0,236.94074836876305,10,0.6
10,3782.1749749833893,10,0.6
20,14225.737771403017,10,0.6
30,21480.447597873655,10,0.6
40,16572.068972856756,10,0.6
50,15169.735754476575,10,0.6
60,15034.325788691298,10,0.6
70,29127.01717654816,10,0.6
80,13688.58807329293,10,0.6
90,14380.25233908358,10,0.6
100,16048.881364199522,10,0.6
0,31455.646579449825,40,1.0
10,24064.675307627316,40,1.0
20,18065.67003356241,40,1.0
30,18326.48573559178,40,1.0
40,13199.603420348292,40,1.0
50,15175.334656793884,40,1.0
60,22082.703495604812,40,1.0
70,13901.85184097715,40,1.0
80,13830.541944255068,40,1.0
90,15902.068820230857,40,1.0
100,15019.10477138798,40,1.0
0,39319.55822431228,40,0.9
10,30080.84413453414,40,0.9
20,22582.08754195301,40,0.9
30,22908.107169489725,40,0.9
40,16499.504275435364,40,0.9
50,18969.168320992354,40,0.9
60,27603.379369506016,40,0.9
70,17377.314801221437,40,0.9
80,17288.177430318836,40,0.9
90,19877.58602528857,40,0.9
100,18773.880964234973,40,0.9
0,47183.46986917473,40,0.8
10,36097.01296144097,40,0.8
20,27098.50505034361,40,0.8
30,27489.72860338767,40,0.8
40,19799.405130522435,40,0.8
50,22763.001985190826,40,0.8
60,33124.055243407216,40,0.8
70,20852.77776146572,40,0.8
80,20745.8129163826,40,0.8
90,23853.103230346285,40,0.8
100,22528.65715708197,40,0.8
0,55047.381514037195,40,0.7
10,42113.18178834781,40,0.7
20,31614.922558734215,40,0.7
30,32071.350037285618,40,0.7
40,23099.305985609513,40,0.7
50,26556.835649389297,40,0.7
60,38644.73111730842,40,0.7
70,24328.24072171001,40,0.7
80,24203.44840244637,40,0.7
90,27828.620435404002,40,0.7
100,26283.433349928964,40,0.7
0,62911.29315889965,40,0.6
10,48129.35061525463,40,0.6
20,36131.34006712482,40,0.6
30,36652.97147118356,40,0.6
40,26399.206840696585,40,0.6
50,30350.66931358777,40,0.6
60,44165.406991209624,40,0.6
70,27803.7036819543,40,0.6
80,27661.083888510137,40,0.6
90,31804.137640461715,40,0.6
100,30038.20954277596,40,0.6
