soc,r0,soh,temp
0,0.017834382211651234,1.0,25
10,0.012348508668103131,1.0,25
20,0.011942131188684682,1.0,25
30,0.011542238716483612,1.0,25
40,0.011448779257724931,1.0,25
50,0.010986209297973906,1.0,25
60,0.01074691395735844,1.0,25
70,0.010435140087169814,1.0,25
80,0.010308500581091984,1.0,25
90,0.009628407717678195,1.0,25
100,0.009503295722142093,1.0,25
0,0.022292977764564043,0.9,25
10,0.015435635835128914,0.9,25
20,0.014927663985855853,0.9,25
30,0.014427798395604513,0.9,25
40,0.014310974072156162,0.9,25
50,0.013732761622467381,0.9,25
60,0.013433642446698047,0.9,25
70,0.013043925108962268,0.9,25
80,0.01288562572636498,0.9,25
90,0.012035509647097743,0.9,25
100,0.011879119652677616,0.9,25
0,0.026751573317476848,0.8,25
10,0.018522763002154694,0.8,25
20,0.01791319678302702,0.8,25
30,0.017313358074725414,0.8,25
40,0.017173168886587396,0.8,25
50,0.01647931394696086,0.8,25
60,0.01612037093603766,0.8,25
70,0.01565271013075472,0.8,25
80,0.015462750871637974,0.8,25
90,0.01444261157651729,0.8,25
100,0.014254943583213137,0.8,25
0,0.03121016887038966,0.7,25
10,0.021609890169180482,0.7,25
20,0.020898729580198196,0.7,25
30,0.020198917753846322,0.7,25
40,0.02003536370101863,0.7,25
50,0.019225866271454336,0.7,25
60,0.01880709942537727,0.7,25
70,0.018261495152547175,0.7,25
80,0.018039876016910972,0.7,25
90,0.016849713505936843,0.7,25
100,0.016630767513748663,0.7,25
0,0.03566876442330247,0.6,25
10,0.024697017336206262,0.6,25
20,0.023884262377369365,0.6,25
30,0.023084477432967224,0.6,25
40,0.022897558515449862,0.6,25
50,0.021972418595947812,0.6,25
60,0.02149382791471688,0.6,25
70,0.020870280174339628,0.6,25
80,0.020617001162183967,0.6,25
90,0.01925681543535639,0.6,25
100,0.019006591444284186,0.6,25
0,0.029989433119868885,1.0,10
10,0.03085472873063373,1.0,10
20,0.022031474561347977,1.0,10
30,0.02038977352570343,1.0,10
40,0.01915628850228521,1.0,10
50,0.01875995509637272,1.0,10
60,0.017759744183500493,1.0,10
70,0.017548640196493367,1.0,10
80,0.016560992526589952,1.0,10
90,0.015445608835895049,1.0,10
100,0.014912371706592176,1.0,10
0,0.0374867913998361,0.9,10
10,0.03856841091329216,0.9,10
20,0.027539343201684968,0.9,10
30,0.02548721690712928,0.9,10
40,0.023945360627856512,0.9,10
50,0.0234499438704659,0.9,10
60,0.022199680229375615,0.9,10
70,0.021935800245616706,0.9,10
80,0.02070124065823744,0.9,10
90,0.01930701104486881,0.9,10
100,0.01864046463324022,0.9,10
0,0.044984149679803326,0.8,10
10,0.04628209309595059,0.8,10
20,0.03304721184202196,0.8,10
30,0.030584660288555138,0.8,10
40,0.02873443275342781,0.8,10
50,0.02813993264455908,0.8,10
60,0.026639616275250737,0.8,10
70,0.026322960294740048,0.8,10
80,0.024841488789884927,0.8,10
90,0.02316841325384257,0.8,10
100,0.02236855755988826,0.8,10
0,0.05248150795977055,0.7,10
10,0.05399577527860903,0.7,10
20,0.038555080482358964,0.7,10
30,0.035682103669981,0.7,10
40,0.03352350487899912,0.7,10
50,0.032829921418652264,0.7,10
60,0.031079552321125865,0.7,10
70,0.030710120343863393,0.7,10
80,0.028981736921532417,0.7,10
90,0.027029815462816336,0.7,10
100,0.02609665048653631,0.7,10
0,0.05997886623973777,0.6,10
10,0.06170945746126746,0.6,10
20,0.044062949122695955,0.6,10
30,0.04077954705140686,0.6,10
40,0.03831257700457042,0.6,10
50,0.03751991019274544,0.6,10
60,0.03551948836700099,0.6,10
70,0.035097280392986735,0.6,10
80,0.033121985053179905,0.6,10
90,0.030891217671790098,0.6,10
100,0.029824743413184352,0.6,10
0,0.009457951777638099,1.0,40
10,0.008690718480281067,1.0,40
20,0.008127190072837513,1.0,40
30,0.008384428250651102,1.0,40
40,0.008022345782590172,1.0,40
50,0.007829386583786959,1.0,40
60,0.007830989989625984,1.0,40
70,0.007776985608008584,1.0,40
80,0.007950275804006748,1.0,40
90,0.007610473992381691,1.0,40
100,0.00755521175761397,1.0,40
0,0.011822439722047624,0.9,40
10,0.010863398100351333,0.9,40
20,0.01015898759104689,0.9,40
30,0.010480535313313877,0.9,40
40,0.010027932228237713,0.9,40
50,0.009786733229733698,0.9,40
60,0.009788737487032479,0.9,40
70,0.009721232010010728,0.9,40
80,0.009937844755008435,0.9,40
90,0.009513092490477115,0.9,40
100,0.009444014697017462,0.9,40
0,0.014186927666457147,0.8,40
10,0.0130360777204216,0.8,40
20,0.012190785109256268,0.8,40
30,0.012576642375976652,0.8,40
40,0.012033518673885257,0.8,40
50,0.011744079875680437,0.8,40
60,0.011746484984438975,0.8,40
70,0.011665478412012875,0.8,40
80,0.011925413706010121,0.8,40
90,0.011415710988572535,0.8,40
100,0.011332817636420954,0.8,40
0,0.016551415610866673,0.7,40
10,0.015208757340491867,0.7,40
20,0.014222582627465648,0.7,40
30,0.01467274943863943,0.7,40
40,0.014039105119532802,0.7,40
50,0.013701426521627178,0.7,40
60,0.013704232481845472,0.7,40
70,0.013609724814015022,0.7,40
80,0.01391298265701181,0.7,40
90,0.01331832948666796,0.7,40
100,0.013221620575824447,0.7,40
0,0.018915903555276198,0.6,40
10,0.017381436960562133,0.6,40
20,0.016254380145675026,0.6,40
30,0.016768856501302203,0.6,40
40,0.016044691565180343,0.6,40
50,0.015658773167573917,0.6,40
60,0.015661979979251967,0.6,40
70,0.015553971216017167,0.6,40
80,0.015900551608013496,0.6,40
90,0.015220947984763382,0.6,40
100,0.01511042351522794,0.6,40
