temp,soc,r1
0,0,0.0213599127799394
0,0.05,0.0226811116132852
0,0.1,0.0179689144593943
0,0.15,0.0132567173055033
0,0.2,0.0113516035592779
0,0.25,0.0100825610119272
0,0.3,0.00910665926307834
0,0.35,0.00857360128373618
0,0.4,0.00804054330439402
0,0.45,0.00776583611490946
0,0.5,0.00749608849407813
0,0.55,0.00738010547437831
0,0.6,0.0073832036398096
0,0.65,0.00741275131113821
0,0.7,0.00759697027012216
0,0.75,0.00778118922910612
0,0.8,0.00786302930506825
0,0.85,0.00790673333808558
0,0.9,0.0079504373711029
0,0.95,0.00799414140412022
0,1,0.00803784543713755
10,0,0.0210040599859174
10,0.05,0.0176711286758875
10,0.1,0.0116973041274663
10,0.15,0.00737277603114993
10,0.2,0.00673429437357004
10,0.25,0.00613018850602161
10,0.3,0.00574606442436705
10,0.35,0.00536194034271248
10,0.4,0.00508798920623228
10,0.45,0.00481849485008274
10,0.5,0.00464793829609896
10,0.55,0.00450415758179811
10,0.6,0.00455203359014969
10,0.65,0.00472092324291842
10,0.7,0.00491674977239385
10,0.75,0.00514699538104191
10,0.8,0.0052760461258532
10,0.85,0.00512444417602418
10,0.9,0.00497284222619516
10,0.95,0.00482124027636614
10,1,0.00466963832653712
20,0,0.0199288398496842
20,0.05,0.0110587942078613
20,0.1,0.00509102870215218
20,0.15,0.0045981449482642
20,0.2,0.00425058213124535
20,0.25,0.00426327995769435
20,0.3,0.00421901721408834
20,0.35,0.00398236722746878
20,0.4,0.00374321162789768
20,0.45,0.00349179448194451
20,0.5,0.00325680820289957
20,0.55,0.00315402839840477
20,0.6,0.00307045490731001
20,0.65,0.00333923634968441
20,0.7,0.00360801779205881
20,0.75,0.0037407982821976
20,0.8,0.00387255907149931
20,0.85,0.00367897473200913
20,0.9,0.00346221798442157
20,0.95,0.003245461236834
20,1,0.00302870448924644
30,0,0.00694048298155543
30,0.05,0.00503135196980448
30,0.1,0.00312222095805352
30,0.15,0.00301474631844233
30,0.2,0.00293298615475059
30,0.25,0.00307355316414136
30,0.3,0.00322059034496815
30,0.35,0.00309409074046672
30,0.4,0.00295548282687196
30,0.45,0.00273608937449707
30,0.5,0.0025118808472819
30,0.55,0.00238966569801378
30,0.6,0.00227515404168936
30,0.65,0.00262420195040509
30,0.7,0.00301582720703296
30,0.75,0.00302431793977189
30,0.8,0.00299105422746245
30,0.85,0.00277418969685418
30,0.9,0.00253404733740354
30,0.95,0.0022939049779529
30,1,0.00205376261850226
40,0,0.00662374241446418
40,0.05,0.00350139499080774
40,0.1,0.00273281597188141
40,0.15,0.00223260132975443
40,0.2,0.00224824097907752
40,0.25,0.00230771995579388
40,0.3,0.00243464673708522
40,0.35,0.00251543742242381
40,0.4,0.0025388316131871
40,0.45,0.00244281957863948
40,0.5,0.00222621278587861
40,0.55,0.00203594249718627
40,0.6,0.00186729130860891
40,0.65,0.00205705707460862
40,0.7,0.0024847175488185
40,0.75,0.00260939867258598
40,0.8,0.00257290093856211
40,0.85,0.0023738049821641
40,0.9,0.00210652357673284
40,0.95,0.00183924217130159
40,1,0.00157196076587034
