temp,soc,voc
0,0,3.5609
0,0.05,3.58206931888115
0,0.1,3.60048376317042
0,0.15,3.61889820745968
0,0.2,3.63333000560421
0,0.25,3.64685935585528
0,0.3,3.66099802687371
0,0.35,3.67605719038869
0,0.4,3.69111635390368
0,0.45,3.71290959387467
0,0.5,3.734832108134
0,0.55,3.76335214912627
0,0.6,3.79698156702656
0,0.65,3.83194014755293
0,0.7,3.87467139860387
0,0.75,3.9174026496548
0,0.8,3.95878124132397
0,0.85,3.99965596857549
0,0.9,4.04279947366961
0,0.95,4.09095861622495
0,1,4.13911775878029
10,0,3.5089
10,0.05,3.53635646140828
10,0.1,3.56524303495793
10,0.15,3.59162716511451
10,0.2,3.61241853325103
10,0.25,3.6323395349612
10,0.3,3.64669078072751
10,0.35,3.66104202649383
10,0.4,3.6769842118448
10,0.45,3.69299075481312
10,0.5,3.7157671499665
10,0.55,3.74037569090053
10,0.6,3.77350016426334
10,0.65,3.81200166799876
10,0.7,3.85431933615553
10,0.75,3.90151317710634
10,0.8,3.94790232477151
10,0.85,3.99205974514922
10,0.9,4.03698404758684
10,0.95,4.08957117624332
10,1,4.1421583048998
20,0,3.4642
20,0.05,3.50066702789707
20,0.1,3.53494897815592
20,0.15,3.56510898252161
20,0.2,3.59331470182294
20,0.25,3.61667561341815
20,0.3,3.63806205584377
20,0.35,3.65277962751219
20,0.4,3.66782635750825
20,0.45,3.68448386705385
20,0.5,3.70214566116145
20,0.55,3.7278881561918
20,0.6,3.75448648951934
20,0.65,3.79678584989904
20,0.7,3.83908521027874
20,0.75,3.88755653595633
20,0.8,3.93607413747301
20,0.85,3.98259785444942
20,0.9,4.02897955883005
20,0.95,4.08245425955629
20,1,4.13694678775337
30,0,3.3943
30,0.05,3.4588955110507
30,0.1,3.52349102210141
30,0.15,3.55430765309225
30,0.2,3.58464216873007
30,0.25,3.60976757058169
30,0.3,3.63474137666228
30,0.35,3.65106386382353
30,0.4,3.66700339392321
30,0.45,3.68387927584344
30,0.5,3.7008109673078
30,0.55,3.72623816858814
30,0.6,3.75230703015307
30,0.65,3.79660724976951
30,0.7,3.84258199609884
30,0.75,3.88945006355396
30,0.8,3.9364154861821
30,0.85,3.98373276342465
30,0.9,4.03109465055277
30,0.95,4.08491559962053
30,1,4.13967446385779
40,0,3.1774
40,0.05,3.41460341378831
40,0.1,3.48107523711163
40,0.15,3.53528603982891
40,0.2,3.56592851290197
40,0.25,3.5945286474712
40,0.3,3.61998659769427
40,0.35,3.64256360364513
40,0.4,3.66155651564793
40,0.45,3.67980770788513
40,0.5,3.69730979750593
40,0.55,3.719887194256
40,0.6,3.74663080732151
40,0.65,3.78605238867474
40,0.7,3.83388881069882
40,0.75,3.88169339893609
40,0.8,3.92948105224565
40,0.85,3.97791891224063
40,0.9,4.02662943594719
40,0.95,4.0808548590489
40,1,4.13685729187402
