Soc,r0,r1,c,OCV,Temp,DBSCANclusters,anomaly
10,0.006930452740653079,0.016667343242659484,12281.521318017607,3.521,10,-1,1
0,0.007908523866883871,0.019115473562559777,13504.85376687704,3.486,10,-1,1
10,0.00943069794061675,0.016861549032026073,15718.659218200492,3.521,10,-1,1
0,0.010616964564382637,0.017720962600673386,12861.922934044605,3.488,10,-1,1
10,0.009008591295517343,0.017957206640799774,13166.636476501415,3.521,10,-1,1
0,0.011390365413332174,0.01631171869276601,13182.209705525507,3.489,10,-1,1
10,0.005553226879515021,0.017403960260344277,16283.988198248671,3.525,10,-1,1
0,0.00655415228891331,0.017682296446099702,14575.453446205662,3.483,10,-1,1
10,0.002231533670002981,0.01837263373224512,14991.114828842905,3.519,10,-1,1
0,0.005845052054715408,0.01943970138911338,13465.572388323293,3.487,10,-1,1
0,0.004194473791352835,0.017700873958169046,14683.749241983642,3.483,10,-1,1
10,0.006551666333583938,0.017662961729275704,10530.401289293897,3.519,10,-1,1
0,0.0051361004759175825,0.017002146318487635,15330.490904118738,3.487,10,-1,1
10,0.007200404202804256,0.02035963822792733,13769.370822159945,3.523,10,-1,1
0,0.011936657688160131,0.016726493207493254,12864.50105337784,3.486,10,-1,1
0,0.0082695240306679,0.016476011464351993,15471.841572197265,3.486,10,-1,1
0,0.005666923285819693,0.014768168170991941,15240.940638332022,3.483,10,-1,1
10,0.00911928741039429,0.016225340744406836,15851.440847631731,3.518,10,-1,1
10,0.0035516296962773354,0.013324403717721974,14109.938492862435,3.522,10,-1,1
10,0.005403629866249913,0.01734408704350052,12704.849674386955,3.519,10,-1,1
0,0.004747225269765698,0.019303466862032964,14544.499522775877,3.483,10,-1,1
0,0.004163363143924612,0.022770880816513808,15117.29002663106,3.486,10,-1,1
10,0.007356854052134898,0.013032647636873194,13975.423032217303,3.522,10,-1,1
10,0.008290931056003733,0.015131359232021864,11671.891052395687,3.517,10,-1,1
0,0.004817206660191219,0.01977557638787734,15225.200908000344,3.484,10,-1,1
0,0.00538635056272135,0.019727345005829185,16111.29970709088,3.493,25,-1,1
0,0.007188187694959852,0.016862531606722235,16883.614452922317,3.49,25,-1,1
0,0.00676305561323608,0.017337618707769748,14116.061212075307,3.493,25,-1,1
0,0.009505682046537558,0.016546187174461078,16721.73219113793,3.492,25,-1,1
0,0.006174767245192532,0.02199717945367192,15549.865316938061,3.488,25,-1,1
0,0.004329365206161673,0.017519649119352585,14888.649482669354,3.491,25,-1,1
0,0.001299624499013343,0.016785755554254475,14895.17672008852,3.491,25,-1,1
0,0.005406097818567821,0.019054325507630292,14772.818983430043,3.488,25,-1,1
